,time,new_time
0,?,
1,Not stated,
2,Mid afternoon,1800hrs
3,1823 hrs,1823hrs
4,1055 hrs,1055hrs
5,PM,
6,1600,1600hrs
7,1615 hrs,1615hrs
8,1211 hrs,1211hrs
9,pm,
10,1210 hrs,1210hrs
11,Unknown,
12,1645 hrs,1645hrs
13,1615hr,1615hrs
14,1710hr,1710hrs
15,1637hr,1637hrs
16,AM,
17,1600hr,1600hrs
18,1100hr,1100hrs
19,after 1200hr,1200hrs
20,1400hr,1400hrs
21,15.5,1550hrs
22,9h,0900hrs
23,1300,1300hrs
24,14h,1400hrs
25,9h15,0915hrs
26,Not advised,
27,Early Morning,0300hrs
28,Morning,0600hrs
29,Afternoon,1200hrs
30,Evening,2100hrs
31,"""Midday""",1200hrs
32,Night,2100hrs
33,1500h ,1500hrs
34,-16h30,1630hrs
35,10jh45,1045hrs
36,Early  morning,0300hrs
37,Dusk,2300hrs
38,`17h00,1700hrs
39,10j30,1030hrs
40,800,
41,09h00-10h00,0930hrs
42,Sunset,
43,1415,1415hrs
44,14h00-15h00,1400hrs
45,Midday,1200hrs
46,"""Evening""",2100hrs
47,Before 10h00,1000hrs
48,Early afternoon,1200hrs
49,14h00  -15h00,1430hrs
50,Late afternoon,2100hrs
51,"19h00, Dusk",1900hrs
52,1000,1000hrs
53,Shortly before 12h00,1200hrs
54,9h00,0900hrs
55,After noon,1200hrs
56,14h30 / 15h30,1500hrs
57,Morning ,0600hrs
58,Midnight,0000hrs
59,09h30 / 10h00,0945hrs
60,10h45-11h15,1100hrs
61,Sometime between 06h00 & 08hoo,0700hrs
62,07h00 - 08h00,0730hrs
63,18h15-18h30,1823hrs
64,09h00 - 09h30,0915hrs
65,830,
66,Just before noon,1145hrs
67,Early morning,0300hrs
68,Dawn,0600hrs
69,A.M.,
70,Lunchtime,
71,15j45,1545hrs
72,500,
73,Before 07h00,0700hrs
74,10h00 -- 11h00,1030hrs
75,"""Just before 11h00""",1045hrs
76,11h115,1115hrs
77,  ,
78,N,
79,Just before sundown,
80,11h30 ,1130hrs
81,Between 05h00 and 08h00,0630hrs
82,17h00 or 17h40,1720hrs
83,>08h00,0800hrs
84,--,
85,Just after 12h00,1215hrs
86, ,
87,Shortly after midnight,0030hrs
88,13h345,1345hrs
89,  ,
90,09h00 -10h00,0930hrs
91,20h45 (Sunset),2045hrs
92,Late morning,1000hrs
93,P.M.,
94,Shortly before 13h00,1245hrs
95,8:04 PM,2004hrs
96,Possibly same incident as 2000.08.21,
97,After Dusk,
98,Noon,1200hrs
99,2 hours after Opperman,
100,09h30 ,0930hrs
101,Mid morning,0600hrs
102,11h00 / 11h30,1115hrs
103,"""Night""",
104,18h30?,1830hrs
105,30 minutes after 1992.07.08.a,
106,>06h45,0645hrs
107,Between 06h00 & 07h20,0640hrs
108,<07h30,0730hrs
109,17h00 Sunset,1700hrs
110,Nightfall,
111,X,
112,18h30 (Sunset),1830hrs
113,06j00,0600hrs
114,Prior to 10h37,1030hrs
115,Daybreak,
116,>12h00,1200hrs
117,Mid-morning,0600hrs
118,16h30 or 18h00,1715hrs
119,Just before dawn,
120, 14h00,1400hrs
121,Daytime,
122,Dark,
123,10h00 / 11h00,1030hrs
124,"""After lunch""",1300hrs
125,15h00 or 15h45,1520hrs
126,>17h00,1700hrs
127,19h00 / 20h00,1930hrs
128,12h45 / 13h45,1315hrs
129,14h00 - 15h00,1430hrs
130,night,
131,03h45 - 04h00,0355hrs
132,09h30 / 15h30,
133,08h00 / 09h30,0845hrs
134,12h00 to 14h00,1300hrs
135,Late night,
136,10h30 or 13h30,
137,15h00j,1500hrs
138,Midday.,1200hrs
139,"""After dark""",
140,10h00 or 14h00,
141,2 hrs before sunset,
142,18h15 to 21h30,2000hrs
143,1500,1500hrs
144,"""shortly before dusk""",
145,>17h30,1730hrs
146,>14h30,1430hrs
147,Between 11h00 & 12h00,1130hrs
148,After 04h00,0400hrs
149,11h01 -time of ship sinking,1101hrs
150,Ship aban-doned at 03h10,0310hrs
151,After dusk,
152,FATAL  (Wire netting installed at local beaches after this incident.),
153,After midnight,0030hrs
154,Late afternon,2100hrs
155,"""Early evening""",1700hrs
156,Late Afternoon,2100hrs
157,   ,
158,Before daybreak,
159,dusk,
160,Before 10h30,1030hrs
161,06h00 -- 07h00,0630hrs
162,17h00-18h00,1730hrs
163,19h00-20h00,1930hrs
